"Year","Conflicts","T_Tol","P_Tol","T_Mann2003","P_Buntgen2011_AMJ","P_Buntgen2011_AMJ_L","P_Buntgen2011_AMJ_U","P_Buntgen2010","T_Buntgen2011_JJA","T_Buntgen2011_JJA_L","T_Buntgen2011_JJA_U","T_Buntgen2006","T_Luterbacher2016","T_Luterbacher2016_L","T_Luterbacher2016_U","T_Glaser2009","T_Glaser2009_L","T_Glaser2009_U","T_Buntgen2021","dT_Erupt","dT_Erupt_40"
1000,4,NA,NA,-0.272,168.56,129.86,207.26,216.06,-0.593,-1.32,0.135,-2.019,0.02969,-0.86406,0.81369,NA,NA,NA,-0.298783897,2,61
1001,5,NA,NA,-0.279,201.01,162.31,239.71,210.28,-0.091,-0.819,0.636,-1.886,-0.12508,-1.0051,0.64639,NA,NA,NA,-0.270021937,3,62
1002,6,NA,NA,-0.282,219.97,181.28,258.67,221.61,-0.23,-0.958,0.497,0.102,0.23567,-0.56946,1.0209,NA,NA,NA,-0.384637664,4,63
1003,5,NA,NA,-0.281,232.57,193.87,271.27,259.56,0.4,-0.327,1.127,-1.901,-0.17367,-1.0346,0.58266,NA,NA,NA,-0.403302236,5,64
1004,6,NA,NA,-0.275,128.42,89.72,167.12,200.23,-0.895,-1.623,-0.168,-2.328,-0.40441,-1.306,0.36421,NA,NA,NA,-0.48311592,6,65
1005,6,NA,NA,-0.265,201.49,162.79,240.18,176.76,0.454,-0.273,1.182,-0.767,0.10004,-0.63548,0.8314,-0.162,-0.521,0.197,-0.299587454,6,66
1006,7,NA,NA,-0.253,170.15,131.46,208.85,165.15,-0.364,-1.092,0.363,-0.59,0.06839,-0.78267,0.82795,-0.206,-0.564,0.152,-0.45036201,5,67
1007,7,NA,NA,-0.243,173.08,134.38,211.78,171.66,-1.347,-2.074,-0.62,-1.282,-0.42997,-1.3294,0.36216,-0.206,-0.572,0.161,-0.225326527,4,68
1008,6,NA,NA,-0.236,179.97,141.27,218.66,210.59,0.752,0.025,1.48,0.382,-0.20581,-0.96289,0.5526,-0.206,-0.565,0.154,-0.034340226,3,69
1009,6,NA,NA,-0.235,159.01,120.31,197.71,152.57,0.226,-0.501,0.954,0.485,-0.057213,-0.82744,0.68502,-0.134,-0.48,0.211,-0.451890468,2,70
1010,6,NA,NA,-0.237,139.66,100.96,178.35,113.13,-0.022,-0.749,0.705,-2.019,-0.41834,-1.2597,0.35327,-0.08,-0.425,0.264,-0.238988815,1,71
1011,6,NA,NA,-0.241,159.11,120.41,197.81,154.13,-0.32,-1.047,0.408,-0.988,-0.1991,-1.0749,0.56267,-0.08,-0.437,0.276,-0.383347579,0,72
1012,6,NA,NA,-0.243,149.44,110.74,188.14,170.62,-0.364,-1.092,0.363,-1.886,-0.49269,-1.352,0.28729,-0.08,-0.464,0.303,-0.372054647,1,73
1013,6,NA,NA,-0.24,218.18,179.48,256.87,187.41,0.186,-0.541,0.914,-1.356,-0.33303,-1.1635,0.39423,-0.111,-0.502,0.279,-0.17762779,2,74
1014,6,NA,NA,-0.231,160.22,121.52,198.92,160.17,-1.223,-1.95,-0.496,-0.914,-0.68606,-1.5899,0.087393,-0.165,-0.553,0.223,-0.364219202,3,75
1015,5,NA,NA,-0.215,191.51,152.81,230.21,198.64,-0.186,-0.913,0.542,0.736,-0.31829,-1.0998,0.4188,-0.196,-0.562,0.17,-0.077443182,2,76
1016,5,NA,NA,-0.195,197.35,158.65,236.05,181.24,-0.935,-1.662,-0.208,-0.899,-0.47991,-1.373,0.27927,-0.196,-0.55,0.158,-0.450248233,1,77
1017,3,NA,NA,-0.175,189.82,151.12,228.52,184.45,-0.111,-0.839,0.616,-1.533,-0.62457,-1.535,0.12306,-0.111,-0.469,0.246,-0.075098374,0,78
1018,3,NA,NA,-0.158,140.41,101.71,179.1,130.3,-0.474,-1.201,0.254,0.265,0.28477,-0.48614,1.0275,-0.05,-0.398,0.298,-0.099857741,1,79
1019,3,NA,NA,-0.149,175.68,136.99,214.38,169.39,0.43,-0.298,1.157,0.662,0.5223,-0.30457,1.3188,-0.05,-0.409,0.309,-0.206391896,1,80
1020,3,NA,NA,-0.147,163.63,124.93,202.33,126.62,-1.526,-2.253,-0.798,-0.649,-0.2143,-1.1096,0.57941,-0.067,-0.424,0.289,-0.134514834,0,81
1021,3,NA,NA,-0.151,247.44,208.74,286.14,135.71,-1.456,-2.184,-0.729,-1.4,-0.39415,-1.3128,0.3974,-0.067,-0.409,0.275,-0.541219439,1,82
1022,3,NA,NA,-0.158,204.82,166.12,243.52,155.98,-0.077,-0.804,0.651,-1.842,-0.38779,-1.2569,0.36817,-0.067,-0.404,0.27,-0.323971582,2,83
1023,3,NA,NA,-0.165,231.92,193.23,270.62,190.85,0.038,-0.69,0.765,-0.988,-0.53652,-1.3756,0.22381,-0.067,-0.41,0.275,-0.205824285,3,84
1024,3,NA,NA,-0.169,216,177.3,254.7,183.95,0.092,-0.635,0.82,-2.387,-0.45968,-1.378,0.30537,-0.09,-0.461,0.28,-0.065315676,4,84
1025,3,NA,NA,-0.167,186.43,147.73,225.13,175.36,-0.146,-0.873,0.581,-0.56,0.2176,-0.64675,1.009,-0.006,-0.398,0.387,-0.298109583,5,83
1026,2,NA,NA,-0.16,161.98,123.28,200.68,142.07,0.663,-0.064,1.39,-0.001,-0.05788,-0.90011,0.71251,0.048,-0.344,0.441,-0.068576892,6,82
1027,2,NA,NA,-0.151,178.93,140.23,217.63,152.12,-0.027,-0.754,0.7,-0.796,-0.22997,-1.0684,0.55191,0.079,-0.314,0.472,-0.113786871,7,81
1028,2,NA,NA,-0.143,172.04,133.34,210.74,140.82,0.653,-0.074,1.38,-0.06,-0.050602,-0.88719,0.72609,-0.015,-0.4,0.369,-0.041252752,8,80
1029,2,NA,NA,-0.139,173.43,134.74,212.13,121,-1.029,-1.757,-0.302,-3.05,-0.82802,-1.8249,-0.034486,-0.046,-0.428,0.335,-0.373056374,9,79
1030,2,NA,NA,-0.142,227.37,188.67,266.07,149.44,0.251,-0.476,0.978,-2.225,-0.10896,-1.004,0.68142,-0.046,-0.43,0.337,-0.186253204,10,78
1031,1,NA,NA,-0.151,198.18,159.48,236.88,151.58,1.149,0.422,1.877,0.073,-0.19995,-1.0262,0.57748,-0.1,-0.457,0.256,-0.077025537,11,77
1032,0,NA,NA,-0.165,153.98,115.28,192.68,103.97,-0.007,-0.734,0.72,-3.3,-0.90087,-1.7985,-0.086091,-0.1,-0.483,0.282,-0.398401727,12,76
1033,0,NA,NA,-0.179,199.24,160.54,237.94,139,0.524,-0.203,1.251,-1.105,0.054825,-0.79615,0.78853,-0.069,-0.471,0.332,-0.288554492,13,75
1034,0,NA,NA,-0.19,149.31,110.61,188,145.48,0.311,-0.417,1.038,-3.536,-0.34325,-1.2683,0.4529,-0.039,-0.442,0.365,-0.202724777,14,74
1035,0,NA,NA,-0.195,188.42,149.72,227.11,150.46,0.147,-0.581,0.874,-1.356,-0.2964,-1.1364,0.49042,-0.039,-0.423,0.346,-0.437105548,15,73
1036,0,NA,NA,-0.192,163.78,125.08,202.48,136.24,0.216,-0.511,0.944,-2.461,-0.35,-1.2398,0.44333,-0.069,-0.452,0.313,-0.211334455,16,72
1037,0,NA,NA,-0.183,237.11,198.41,275.81,173.71,0.846,0.119,1.574,-2.225,0.14715,-0.75528,0.98539,-0.093,-0.446,0.261,-0.285659285,17,71
1038,0,NA,NA,-0.17,195.92,157.22,234.62,147.3,0.315,-0.412,1.043,-1.223,-0.16159,-0.96957,0.60157,-0.154,-0.511,0.203,-0.38798202,18,70
1039,0,NA,NA,-0.159,160.51,121.81,199.21,133.89,0.191,-0.536,0.919,-0.089,-0.013331,-0.77134,0.76938,-0.216,-0.562,0.13,-0.158660721,18,69
1040,1,NA,NA,-0.153,226.91,188.21,265.61,161.86,-0.518,-1.246,0.209,-3.566,-0.48207,-1.349,0.38856,-0.247,-0.595,0.102,-0.325210567,17,68
1041,1,NA,NA,-0.156,209.41,170.72,248.11,141.5,-0.245,-0.973,0.482,-0.826,-0.60103,-1.4049,0.18381,-0.301,-0.629,0.028,-0.151394262,16,67
1042,0,NA,NA,-0.167,173.86,135.17,212.56,140.22,-0.047,-0.774,0.681,-2.004,-0.61138,-1.4336,0.19692,-0.301,-0.622,0.02,-0.305190762,15,66
